,local,global
nature,0.0009757481046367305,0.3429231479456568
chapter,0.001180802086932009,0.29967019826777264
country,0.0013531020497118992,0.3429933711854324
seen,0.002324817917489915,0.39523299234639186
look,0.0006173260511970909,0.29754478847666077
value,0.0009188075500184073,0.30486951506907034
early,0.001264118020671037,0.2804454277793269
small,0.0012227018519671256,0.31044052299207714
best,0.0009217457443780026,0.29893951517893647
upon,0.0012873811864381028,0.35040499982019624
done,0.0005479969243345484,0.2912286173916423
school,0.001328060263972908,0.3007149535184308
group,0.0023202783887948403,0.3715233032522709
let,0.0006559904755666368,0.29394171478890485
sense,0.0014086872380030453,0.33097077473299263
research,0.002510042926253086,0.4850739155637579
3,9.820117976416592e-05,0.3461359211354199
data,0.0016831063309642458,0.4656924993447148
taken,0.0014580394927622392,0.30800841174417404
result,0.0014999108621133387,0.35645799707717185
every,0.0024039505291871314,0.36467440067986434
means,0.002118398808420793,0.39903896092606284
off,0.0007977479417018309,0.3467584189855264
role,0.0016924663966577324,0.3358052207019121
present,0.0021382665806744723,0.35062139376965784
interest,0.0011641093246074442,0.2994258104006341
level,0.0023962930149488484,0.4333069957567034
child,0.0012446327174765745,0.36832851956099677
0,0.0005143512828030168,0.39093807754900645
home,0.0007074009953950237,0.28913007845297634
rate,0.0010787655811364213,0.34012751980338807
control,0.0012912598200682456,0.335028020955798
view,0.002687605415724786,0.3299914605011469
based,0.0011596585942887307,0.2998848963939894
times,0.0020430344624159567,0.3386896976828504
help,0.0008975453449208857,0.3837301307938846
went,0.0003423364229436852,0.2650228784865568
though,0.0005581245757150076,0.38464896107934976
away,0.0007492973067047803,0.3004980384576377
per,0.0003903611815960257,0.3012543382115842
took,0.0011387191811798253,0.26574510379577043
terms,0.0019487870189468083,0.41552095827319757
body,0.000907173342588303,0.34292734810869674
become,0.0012807635859386221,0.30314168988490664
mind,0.0010480843851048175,0.3099761785391646
called,0.0027897695590795683,0.3713794614641217
again,0.0006352059502069115,0.2815326775738112
tell,0.000584804229594498,0.24116676568069373
am,0.0010356376687472417,0.2637434302832363
effect,0.0015413017342845996,0.35073151741574304
room,0.0005115527801958535,0.22980164233836398
name,0.001220337332692896,0.28075465352443263
better,0.00033007080642162925,0.23963062542119207
age,0.0009784886594778187,0.2988121380154575
known,0.0010246716229082792,0.334003432744738
others,0.0019137341908589366,0.32241484408301446
days,0.0001790760988669808,0.264580307057264
thing,0.00037210160199756666,0.2511975034989079
necessary,0.0006973228310222072,0.2360976696732099
next,0.00216958499964802,0.3516223975750252
always,0.0008178824823180041,0.29470284579687955
head,0.0005896257239376472,0.34033560866227697
international,0.0019230152296202327,0.3931160414461232
matter,0.0015207660810194873,0.32413035847379323
members,0.0007133392567193565,0.26993277933634185
whole,0.0014552507296598947,0.35812679816495485
education,0.0012737033879937076,0.3233716767146706
later,0.0006834616964470503,0.2903135417582917
among,0.000978613772575054,0.29327420165517626
city,0.00047275708053222507,0.29528763233821265
told,0.00043221686200970236,0.2603417225538306
care,0.0031068901065937245,0.3936542376467175
section,0.0019908665098810497,0.3380301595637111
self,0.0026716978381339444,0.3648333124394002
enough,0.0003753258402947755,0.25092375545652656
around,0.001273066917298273,0.30261845583229663
area,0.001246836859596967,0.3840239714742132
nothing,0.0006610309666178146,0.33965775469500814
health,0.0058919752267875165,0.4277576815364337
journal,0.0022376967935883478,0.4580431888101938
subject,0.0012943461806222295,0.3262264698062759
face,0.0007434172447621547,0.2785023044619783
half,0.0006431708001718342,0.288454222981976
often,0.0009952628527665646,0.30948507224155186
likely,0.0011848254496774127,0.33731435985871927
provide,0.0023100434820380444,0.39281635693150585
problems,0.0021132918363115766,0.346160614407233
although,0.0016172607534676987,0.3375823809672732
studies,0.003288223393343001,0.5300499822195626
basis,0.0023640548951901273,0.35546575314193085
reason,0.0006678642041569501,0.3368571604295876
london,0.0015490643237320541,0.35188780455105106
rather,0.0030222925550998565,0.5028713280669292
death,0.0009298530881391733,0.2985133179688475
woman,0.0004278680379341231,0.33906721971281906
term,0.0048710326404889665,0.4197337778183666
rights,0.0009661662777889575,0.3088451766408099
himself,0.0008263149766336966,0.28111284457994523
evidence,0.0016345165795240487,0.2574326739246474
position,0.0020555057519765162,0.279948754203888
four,0.0001458356003984283,0.2729259060633753
5,5.19943203980822e-05,0.27269997360331444
table,0.0013949763761280558,0.2880990484224005
business,0.0023453701144329243,0.36975460892801115
4,6.610752880595213e-05,0.3408260354080711
common,0.003251268745837856,0.37129147036436194
difficult,0.0006822409071470702,0.20893917779237048
money,0.0007142717403176781,0.27063060007871453
10,6.715098113113469e-05,0.2654295270184991
making,0.0048782343009952135,0.44561962265996424
amount,0.0010825104614392601,0.26758635697283273
keep,0.0013187220880111817,0.23593126805444864
party,0.0019452779905566161,0.3426504537117421
figure,0.003951507654207085,0.4275532794799146
words,0.000674370745057877,0.27197088449925744
knowledge,0.001278395173468689,0.2786173892875261
due,0.001765798506068558,0.33119822897744666
eyes,0.00026684120906293697,0.25600807170985784
individual,0.0015957774300786845,0.2694227321672126
line,0.0016472745241691363,0.27978645491074894
got,0.0011678373539019025,0.25366009592819305
father,0.0002888223921978172,0.2332473975851238
analysis,0.002292706786011392,0.43448908593382307
company,0.0020769037478368347,0.3155959317018445
clear,0.0018398686976842532,0.3393228692831506
countries,0.0016397687148813284,0.3377752574381786
increase,0.0008313006113159656,0.23024961240422304
cases,0.0020752374668377574,0.2964421604360985
results,0.0009125880305205257,0.2601098470652139
knew,0.0004287661405022049,0.2605891122063424
policy,0.0032265441354727485,0.38554973469213605
shown,0.0021212711325988027,0.31646899298063424
language,0.00181697954567488,0.29722827083369885
action,0.003834791817317505,0.3804710628325907
love,0.0004261962606690569,0.2413541899187649
changes,0.0010896532149164385,0.2782600082274893
once,0.001019340203859609,0.3273178704053149
seems,0.0003572788590732248,0.2549146751330814
five,0.0001264967098038583,0.24761684791860672
understand,0.0003932300191221601,0.24269073660488072
believe,0.0006153033620000623,0.31142799273093436
either,0.0009529940750891125,0.37381781476740006
light,0.0004807951872234455,0.25931017403950407
land,0.0009645362775149823,0.22612066386758212
relationship,0.001977779943079483,0.3795994150546588
america,0.0010308965385971227,0.42008486382541754
theory,0.0020183487940654277,0.3497492035967613
south,0.00032354370848327224,0.27305451382997514
idea,0.0017353577368041779,0.3363498805419832
mother,0.0002319540653608793,0.21300240344974397
according,0.0014119719066372478,0.25799382436974605
yet,0.00044679934699546427,0.36569273774654554
thus,0.0022556632698396404,0.4031797180856742
several,0.0011141652711491035,0.3186779873478207
account,0.0020575308248718467,0.42811520095332245
community,0.001499824706064198,0.37722191762412294
true,0.0014568810700993306,0.31653008835127816
anything,0.0003168145428914992,0.24418065828838986
particular,0.001914313367512763,0.3501305354445997
wanted,0.0008382864758367926,0.3088300219963903
feel,0.0005152455596837315,0.24337918194001873
support,0.0006941660854434262,0.28153387182773937
available,0.002287390346218394,0.362817612627796
kind,0.001942904006283625,0.38449038381636214
above,0.0022415493435092304,0.324201223690159
having,0.00247518873950659,0.3734265253299729
held,0.0013959591442931879,0.2659158458697509
past,0.0018507218373671822,0.3432323430010683
class,0.0014601639566004135,0.3333105803716697
free,0.005576219464258351,0.363830323108579
certain,0.0010614466919406293,0.4176878297960491
future,0.0025662023923071708,0.30767017645703143
ways,0.0019694324877713976,0.37516601029426955
experience,0.002277482894024244,0.3454093892478646
word,0.00044326089332860457,0.24960084034546404
population,0.0017870918341987123,0.3105280872678764
office,0.0014260562283233632,0.3649089076732055
along,0.0012174753967230771,0.3861025956725619
asked,0.00045924505560174413,0.24584929781231502
looked,0.0004440923211001325,0.2538571175043822
market,0.0023344561599411284,0.39601934187803556
church,0.00040599122471617175,0.23542945725034758
together,0.0013583313066321092,0.28211459156221985
function,0.0035006273407567623,0.3987886433646508
young,0.0006540253269503659,0.3445458413095469
students,0.003149270059106355,0.40402864317826725
total,0.0007961542692642709,0.327661531052561
north,0.0004301051750120957,0.3340574398030104
sure,0.0014168062392536911,0.43355655951551664
show,0.001037225866036079,0.3397128634798482
middle,0.0017951878633475833,0.31407092332105757
became,0.0010123514017472527,0.257199061755063
service,0.004040590130957627,0.4443439168467125
therefore,0.000569065176785899,0.36954739045048257
force,0.0033470031148877316,0.40068531624756565
major,0.015289676745248063,0.6902121211014023
patients,0.0018980577785350698,0.3320845084537566
ever,0.0004056604213267681,0.2568425080748098
mean,0.001819025363598136,0.3312635932899064
needs,0.0016097913700456189,0.2513469599343744
department,0.0014043002248561197,0.34617925157790874
began,0.0017963376613661986,0.246265775442834
door,0.0006108790100409397,0.20344983795547655
live,0.0005892026284117589,0.2917926564706904
open,0.003498450449372839,0.3263165524903353
night,0.0003163235958666657,0.2230263187633188
beginning,0.0013482210453138136,0.26893387866605656
difference,0.0011521644641337746,0.27809705290948805
services,0.0047375295387122015,0.5377350187950303
itself,0.0012581419868915413,0.29530570707288784
doing,0.0009576577590775439,0.3079120309572859
rest,0.0024459938286179633,0.3470678214427677
turn,0.0026136440678664725,0.39789449496978035
felt,0.0008083181705291644,0.2630107089622865
conditions,0.0014756163252852628,0.2661950134595985
science,0.0011120681141737105,0.3755399835634431
situation,0.002393246264908855,0.3167737323113793
attention,0.0019355613578268648,0.23656186498360754
using,0.002221078974608538,0.36967860080564474
field,0.004229056582876729,0.36721415017195336
model,0.012565142394576014,0.6113862806731742
hands,0.0007462465517342147,0.2760554141623369
read,0.0005277562644276352,0.31981748658612785
considered,0.0011935232038946361,0.27296435651640694
growth,0.002756428672965086,0.387131712619191
heart,0.0012797328169950766,0.25324673348310067
themselves,0.0010295165386990173,0.30173469083542925
groups,0.001921789142138683,0.38691910469437063
effects,0.002959223721745809,0.40133392458562045
real,0.001903623731427585,0.3789451655842787
single,0.0018088207745026207,0.34329588853576654
third,0.0006500827545330924,0.30779551237471403
extent,0.002696766897933803,0.37256569349462065
full,0.0041669157421531135,0.3554030225293475
deal,0.001981953814098443,0.3440027301223333
structure,0.002518208337875736,0.38940346716849394
including,0.0036881800487461266,0.43800549909388364
required,0.0007657801760765849,0.28057794458519125
working,0.0052276194547348186,0.47763911695282935
